DIA,viajeros,Fecha,Total de viajeros
2019-02-15,853,2019,11356373
2019-02-16,318,2019,11356373
2019-02-17,740,2019,11356373
2019-02-18,264,2019,11356373
2019-02-19,150,2019,11356373
2019-02-20,183,2019,11356373
2019-02-21,236,2019,11356373
2019-02-22,868,2019,11356373
2019-02-23,322,2019,11356373
2019-02-24,746,2019,11356373
2019-02-25,269,2019,11356373
2019-02-26,183,2019,11356373
2019-02-27,190,2019,11356373
2019-02-28,354,2019,11356373
2019-03-01,1008,2019,11356373
2019-03-02,329,2019,11356373
2019-03-03,697,2019,11356373
2019-03-04,354,2019,11356373
2019-03-05,296,2019,11356373
2019-03-06,205,2019,11356373
2019-03-07,297,2019,11356373
2019-03-08,965,2019,11356373
2019-03-09,316,2019,11356373
2019-03-10,752,2019,11356373
2019-03-11,290,2019,11356373
2019-03-12,170,2019,11356373
2019-03-13,178,2019,11356373
2019-03-14,238,2019,11356373
2019-03-15,961,2019,11356373
2019-03-16,297,2019,11356373
2019-03-17,709,2019,11356373
2019-03-18,283,2019,11356373
2019-03-19,224,2019,11356373
2019-03-20,199,2019,11356373
2019-03-21,270,2019,11356373
2019-03-22,893,2019,11356373
2019-03-23,345,2019,11356373
2019-03-24,714,2019,11356373
2019-03-25,238,2019,11356373
2019-03-26,179,2019,11356373
2019-03-27,185,2019,11356373
2019-03-28,267,2019,11356373
2019-03-29,878,2019,11356373
2019-03-30,320,2019,11356373
2019-03-31,706,2019,11356373
2019-04-01,294,2019,11356373
2019-04-02,166,2019,11356373
2019-04-03,182,2019,11356373
2019-04-04,266,2019,11356373
2019-04-05,861,2019,11356373
2019-04-06,277,2019,11356373
2019-04-07,664,2019,11356373
2019-04-08,256,2019,11356373
2019-04-09,195,2019,11356373
2019-04-10,220,2019,11356373
2019-04-11,409,2019,11356373
2019-04-12,1002,2019,11356373
2019-04-13,416,2019,11356373
2019-04-14,503,2019,11356373
2019-04-15,358,2019,11356373
2019-04-16,278,2019,11356373
2019-04-17,772,2019,11356373
2019-04-18,573,2019,11356373
2019-04-19,255,2019,11356373
2019-04-20,259,2019,11356373
2019-04-21,704,2019,11356373
2019-04-22,801,2019,11356373
2019-04-23,319,2019,11356373
2019-04-24,264,2019,11356373
2019-04-25,235,2019,11356373
2019-04-26,843,2019,11356373
2019-04-27,466,2019,11356373
2019-04-28,728,2019,11356373
2019-04-29,334,2019,11356373
2019-04-30,642,2019,11356373
2019-05-01,720,2019,11356373
2019-05-02,564,2019,11356373
2019-05-03,918,2019,11356373
2019-05-04,340,2019,11356373
2019-05-05,1149,2019,11356373
2019-05-06,386,2019,11356373
2019-05-07,192,2019,11356373
2019-05-08,211,2019,11356373
2019-05-09,267,2019,11356373
2019-05-10,881,2019,11356373
2019-05-11,290,2019,11356373
2019-05-12,630,2019,11356373
2019-05-13,288,2019,11356373
2019-05-14,272,2019,11356373
